rand0,7935,4103,7703,8054
rand1,9646,3485,8273,8594
rand2,9220,5013,8752,8810
rand3,8211,5752,8779,8906
random4,8487,7416,8226,8404
randbij0,12558,4740,10571,11929
randbij1,12808,4501,10795,10700
randbij2,12684,5446,10428,12237
randbij3,11490,5426,10892,11282
randbij4,12679,3908,9749,11615
randx2,8432,6020,9254,9590
randx3,8414,6785,10421,10849
randx4,9817,7894,10119,10638
randx5,8848,9141,9966,10072
hotspot,9489,4076,8294,8936
"stag(1,0)",13847,13187,13490,13009
"stag0(0.2,0.3)",12926,8676,11381,11948
"stag1(0.2,0.3)",12713,7488,11299,11947
"stag2(0.2,0.3)",12825,7571,11713,12103
"stag3(0.2,0.3)",12586,6395,11161,11641
"stag4(0.2,0.3)",12872,8801,12296,12338
"stag0(0.5,0.3)",12973,10137,12456,13043
"stag1(0.5,0.3)",12304,10024,12387,12077
"stag2(0.5,0.3)",12801,10180,12117,12495
"stag3(0.5,0.3)",12992,10948,12569,12473
"stag4(0.5,0.3)",12361,8947,11902,12230
stride1,11739,12079,12270,12434
stride2,12395,6525,10634,11894
stride4,12465,3482,11790,11720
stride8,13851,3408,10194,12550
